City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
525,pehowa,29.9833,76.5833,11.79,96,11,3.06,IN,1674610752
526,qujing,25.4833,103.7833,5.98,67,100,4.37,CN,1674610753
527,sombrio,-29.1139,-49.6167,23.85,91,1,1.6,BR,1674610753
528,almaznyy,48.0448,40.045,-4.23,64,7,3.43,RU,1674610754
529,joshimath,30.5667,79.5667,6.11,89,100,1.8,IN,1674610754
530,tevriz,57.509,72.4042,-10.63,96,100,2.57,RU,1674610755
531,faya,18.3851,42.4509,11.29,74,6,1.38,SA,1674610755
532,belz,47.6751,-3.168,3.94,86,38,1.34,FR,1674610756
533,honiara,-9.4333,159.95,30.25,64,85,2.7,SB,1674610756
534,sao fidelis,-21.6461,-41.7469,23.14,99,100,0.86,BR,1674610757
535,pontes e lacerda,-15.2261,-59.3353,22.52,91,96,1.49,BR,1674610745
536,ouesso,1.6136,16.0517,21.89,60,100,0.99,CG,1674610757
537,vikulovo,56.8167,70.6107,-10.47,91,92,4.89,RU,1674610758
538,orocue,4.7912,-71.3354,26.29,55,58,2.39,CO,1674610758
539,sukumo,32.9333,132.7333,2.1,52,73,6.03,JP,1674610759
540,kropotkin,45.4375,40.5756,-0.82,82,5,4.18,RU,1674610759
541,balikpapan,-1.2675,116.8289,25.55,94,40,2.06,ID,1674610759
542,kriel,-26.2739,29.2253,16.01,66,1,2.88,ZA,1674610760
543,sarkand,45.41,79.9186,-14.31,77,67,3.13,KZ,1674610760
544,san quintin,30.4833,-115.95,13.44,49,11,3.04,MX,1674610761
545,coihaique,-45.5752,-72.0662,8.97,81,75,2.06,CL,1674610644
546,markova,48.6758,24.4138,-1.78,81,83,0.79,UA,1674610761
547,conde,-7.2597,-34.9075,25.7,78,20,3.09,BR,1674610762
548,nenjiang,49.1833,125.2167,-28.19,84,89,0.13,CN,1674610762
549,kawalu,-7.3817,108.2082,26.51,75,100,0.38,ID,1674610763
550,naze,28.3667,129.4833,8.51,72,98,7.6,JP,1674610763
551,darhan,49.4867,105.9228,-28.91,92,84,1.62,MN,1674610764
552,atambua,-9.1061,124.8925,27.47,71,100,2.34,ID,1674610764
553,beringovskiy,63.05,179.3167,-23.57,95,86,5.72,RU,1674610622
554,kolno,53.4115,21.9291,-3.6,85,80,1.78,PL,1674610765
555,itapirapua,-15.8233,-50.6133,21.1,95,100,0.7,BR,1674610765
556,paranhos,-23.8928,-55.4311,23.5,59,0,1.54,BR,1674610766
